mstar,L_x,Habing_G0,m0,r1
0.10835164835164836,0.010169914448301124,4.525156654322377,1.8844019547457467e-06,0.170453609366999
0.46285714285714286,0.0417705280582029,3.93970288637344,0.00021691130642637575,0.9659612105494209
0.17956043956043957,0.656420826039936,14.689970889293313,6.097351235254191e-05,0.8246939474728225
0.845054945054945,1.8271722377430333,22.778373808454173,0.00010568208039089482,0.6684935526433906
0.2679120879120879,0.9914713135852861,2.598608974050571,8.019230035784848e-06,0.16162900851438997
0.22021978021978023,0.371385540018606,2.1827859047318894,3.258641111717937e-06,0.1081873413748109
0.1065934065934066,0.004332934663379216,15.946711784144222,3.11827273783754,23971.244029612582
0.13934065934065934,0.06360024635462413,5.727878850322767,0.0001635437600697879,0.777678090050601
0.3487912087912088,0.19478953883763517,220.90666874883263,8.568487861655426e-05,0.6792972682805765
0.6654945054945055,11.512615346707515,2.9122550747997273,2.4674882176925322e-05,0.8774368995191837
0.19054945054945055,0.012358145996555776,4.0293925933381445,4.260097995211474e-06,0.3658341365371348
0.11868131868131869,0.09530258824874661,12.10686323782,1.581815316309958e-06,0.17235098964428597
0.17274725274725275,0.12217209392025755,15.043990813445221,5.1337391876553964e-06,0.14525397765665612
0.5942857142857143,0.2011470023072116,3.5481334218730347,5.913366854979151e-05,0.8842900685650995
0.13076923076923078,0.013180158676013002,37.219030877083284,2.1652861867930518e-05,0.6274199087451843
0.15934065934065933,0.027002183398832764,14.121122922013125,3.0122647801671003e-05,0.6966549734973062
0.22747252747252747,0.16750749821389319,2.530352185184995,9.087502874591186e-05,0.6228264153017046
0.1243956043956044,0.03861146116252485,24.16411878133224,1.2049685471975875e-07,0.01551460493703496
0.33802197802197803,0.1997294350941873,19.814616289361762,4.438415697310557e-07,0.11185723837991886
0.5351648351648352,0.045695577037024177,2.0613039919562794,9.497998916486315e-05,0.8196169933468247
0.17516483516483516,0.06170947359824926,3.8136609518504674,0.00011255656979353405,0.7772797521576426
0.1397802197802198,0.0241840939457046,4.335726386389095,2.105754929764251e-05,0.6021612861375543
0.12263736263736263,0.04025642866213535,3.0595367107037825,2.2849093433936644e-05,0.448241060573487
0.1778021978021978,0.27434020210086657,3.2798355725045854,4.596366997549578e-05,0.4465949767597842
0.34175824175824177,0.9794604197662937,3.6537831068116158,8.295777209249335e-06,0.5788834540151396
0.6626373626373626,0.8169945702707936,2.635612064810452,0.10624506456169062,956.811755240715
0.5584615384615385,1.1616134128447646,10.438533076398697,7.284026471489317e-05,0.9205777373287379
0.10593406593406594,0.002755432686888596,4.450836136686589,3.63185515814511e-06,0.09481464006009888
0.10901098901098902,0.04268164289380016,16.28388751552599,6.473143007762739e-07,0.049834380265123907
0.10857142857142858,0.06216226034027724,7.65079868281856,2.505696771701703e-06,0.15425816714359136
0.14681318681318684,0.19572701509987123,13.305820365980033,2.524120904592961e-07,0.020986908566596754
0.37054945054945054,0.26059950272165405,3.8309957232378853,5.149734367976455e-05,0.4795436049883853
0.16725274725274725,1.8456692035760305,7.841529136685192,2.4425884817177857e-05,0.2586846970760441
0.29032967032967033,0.5102014691882647,4.98115119459984,0.00014797035235659045,0.9157638685410738
0.14923076923076922,0.1107065636422465,4.177413121936819,2.5461077823015202e-05,0.880984692901999
0.37362637362637363,0.3121876345795532,3.1460727282751533,7.087847433644351e-06,0.07458354439230665
0.2178021978021978,0.21861922998237707,2.3550168887162184,7.31156363018728e-05,0.5404773733620036
