Region 	Source 	2MASS/SSTc2d 	RA 	Dec 	EDR3_plx 	EDR3_err_plx 	EDR3_RUWE 	EDR3_Dist_PPVII 	PM_EDR3_mas 	Disk 	Disk_Flag 	Observatory 	Freq_GHz 	Wavelength 	Beam_arcsec 	RMS_mJy/beam 	Survey_Ref 	Flux_mJy_Standardized 	Mdust_Mearth_Standardized 	Mdust_Mearth_PPVII 	Size_as 	eSize_as 	Hendler20_lR68 	Hendler20_R68_arcsec 	Hendler20_R68_au_DR3 	ref_spt 	Source_check 	Teff_HH14 	Lstar_DR3 	logLacc_DR3 	Mstar_B15_DR3 	logMacc_B15_DR3 	Mstar_S00_DR3 	logMacc_S00_DR3 	Mstar_Fei_DR3 	logMacc_Fei_DR3 	Mstar_PPVII 	logMacc_PPVII 	notes_Macc_PPVII
Taurus 	HO Tau 	J04352020+2232146 	04:35:20.204 	=+22:32:14.600 	6.0796 	0.0273 	1.459 	164.48 	[9.721, -16.898] 	II 	1 	[pre-ALMA, ALMA] 	[388, 225.5] 	[0.89, 1.3] 	[??, 0.12x0.11] 	[??, 0.046] 	[Andrews+13, Long+19] 	[42.7, 17.72] 	[12.07, 13.55] 	13.55 	[, 0.267] 	[, ] 	-- 	-- 	-- 	HH08,HH14,Testi+22 	HO Tau 	3366 	0.18 	-98.98 	0.275 	-105.7 	0.285 	-105.7 	0.28 	-105.74 	0.275 	-105.7 	--
Taurus 	DN Tau 	J04352737+2414589 	04:35:27.375 	=+24:14:58.930 	7.7760 	0.0221 	1.120 	128.60 	[6.056, -20.864] 	II 	1 	[pre-ALMA, ALMA] 	[388, 225.5] 	[0.89, 1.3] 	[??, 0.13x0.11] 	[??, 0.051] 	[Andrews+13, Long+19] 	[210.1, 88.61] 	[36.30, 41.41] 	41.41 	[, 0.475] 	[, ] 	-- 	0.38 	48.868 	HH08,HH14,Testi+22 	DN Tau 	3846 	0.695 	-1.337 	0.526 	-8.185 	0.5625 	-8.213 	0.5 	-8.16 	0.526 	-8.185 	--
Taurus 	CoKu Tau/3 A 	J04354093+2411087 	04:35:40.938 	=+24:11:08.760 	7.8733 	0.0584 	1.155 	127.01 	[5.971, -21.518] 	II 	1 	[ALMA, ALMA] 	[??, ??] 	[0.850, 1.3] 	[0.93x0.47, 1.23x0.74] 	[0.44, 0.27] 	[Akeson&Jensen+2014, Akeson&Jensen+2014] 	[3.32, 1.84] 	[0.50, 0.84] 	0.84 	[, ] 	[, ] 	-- 	-- 	-- 	HH08,HH14,Testi+22 	CoKu Tau/3 A 	3810 	1.077 	-98.98 	0.48 	-105.6 	0.5275 	-105.7 	0.44 	-105.65 	0.48 	-105.6 	--
Taurus 	CoKu Tau/3 B 	J04354093+2411087 	04:35:40.938 	=+24:11:08.760 	7.8733 	0.0584 	1.155 	127.01 	[5.971, -21.518] 	II 	1 	[ALMA, ALMA] 	[??, ??] 	[0.850, 1.3] 	[0.93x0.47, 1.23x0.74] 	[0.44, 0.27] 	[Akeson&Jensen+2014, Akeson&Jensen+2014] 	[14.29, 5.79] 	[2.14, 2.64] 	2.64 	[, ] 	[, ] 	-- 	-- 	-- 	HH08,HH14,Testi+22 	CoKu Tau/3 B 	3127 	1.077 	-98.98 	nan 	nan 	nan 	nan 	nan 	nan 	nan 	nan 	--
Taurus 	HQ Tau 	J04354733+2250216 	04:35:47.336 	=+22:50:21.700 	6.1955 	0.2056 	13.394 	141 	[10.868, -18.980] 	II 	1 	[pre-ALMA, ALMA] 	[388, 225.5] 	[0.89, 1.3] 	[??, 0.12x0.11] 	[??, 0.046] 	[Andrews+13, Long+19] 	[11.0, 3.98] 	[2.28, 2.24] 	2.2 	[, 0.155] 	[, ] 	-- 	-- 	-- 	HH08,HH14,Testi+22 	HQ Tau 	4710 	5.388 	-99.1 	1.399 	-106.1 	1.8574 	-106.2 	1.27 	-106.07 	1.27 	-106.07 	--
Taurus 	HP Tau 	J04355277+2254231 	04:35:52.777 	=+22:54:23.110 	5.8395 	0.0490 	2.772 	141 	[9.037, -13.853] 	II 	1 	[, ALMA] 	[, 225.5] 	[, 1.3] 	[??, 0.13x0.11] 	[??, 0.051] 	[, Long+19] 	[, 49.33] 	[, 27.71] 	27.32 	[, 0.125] 	[, ] 	-- 	0.22 	31.02 	HH08,HH14,Testi+22 	HP Tau 	4375 	1.886 	-99.2 	1.006 	-106.2 	1.185 	-106.2 	0.84 	-106.15 	0.84 	-106.15 	--
Taurus 	Haro 6-28 A 	J04355684+2254360 	04:35:56.841 	=+22:54:36.020 	6.7138 	0.2776 	10.044 	141 	[10.562, -17.131] 	II 	1 	[pre-ALMA, ALMA] 	[388, ??] 	[0.89, 1.3] 	[??, ??] 	[??, ??] 	[Andrews+13, Akeson+2019] 	[11.0, 5.10] 	[2.28, 2.87] 	2.82 	[, ] 	[, ] 	-- 	-- 	-- 	HH08,HH14,Testi+22 	Haro 6-28 A 	3410 	0.316 	-99.12 	0.291 	-105.7 	0.3174 	-105.8 	0.3 	-105.8 	0.291 	-105.7 	--
Taurus 	Haro 6-28 B 	J04355684+2254360 	04:35:56.841 	=+22:54:36.020 	6.7138 	0.2776 	10.044 	141 	[10.562, -17.131] 	II 	1 	[pre-ALMA, ALMA] 	[388, ??] 	[0.89, 1.3] 	[??, ??] 	[??, ??] 	[Andrews+13, Akeson+2019] 	[ <10.5, 0.78] 	[ <2.18, 0.44] 	0.43 	[, ] 	[, ] 	-- 	-- 	-- 	HH08,HH14,Testi+22 	Haro 6-28 B 	3410 	0.316 	-99.12 	0.291 	-105.7 	0.3174 	-105.8 	0.3 	-105.8 	0.291 	-105.7 	--
Taurus 	J04362151+2351165 	J04362151+2351165 	04:36:21.520 	=+23:51:16.600 	8.7333 	0.0765 	1.050 	114.50 	[-0.918, -19.222] 	II 	1 	[, ALMA] 	[, ??] 	[, 1.3] 	[??, ??] 	[??, ??] 	[, Akeson+2019] 	[, 1.45] 	[, 0.54] 	0.54 	[, ] 	[, ] 	-- 	-- 	-- 	HH08,HH14,Testi+22 	J04362151+2351165 	2980 	0.008 	-99 	0.078 	-105.7 	0.1 	-105.8 	0.09 	-105.83 	0.078 	-105.7 	--
Taurus 	ITG 1 	J04375670+2546229 	04:37:56.700 	=+25:46:22.900 	0.9734 	0.0877 	1.056 	141 	[-3.183, 2.129] 	II 	1 	[, pre-ALMA] 	[, 225] 	[, 1.3] 	[??, ??] 	[??, ??] 	[, Andrews+13] 	[, <2.3] 	[, <1.29] 	<1.27 	[, ] 	[, ] 	-- 	-- 	-- 	HH08,HH14,Testi+22 	ITG 1 	-99 	-99 	-99 	-99 	-- 	-99 	-- 	-99 	-99 	-99 	-99 	--
